meter_id,unit,tenant_name,reading,timestamp,month
Three/NEO-EM-10712524,20-1&2,Figari (Lighting & Power),166195.0,2025-09-28 09:46:00,9.0
Three/NEO-EM-23549655,20-1,Figari (ACCU),150627.0,2025-09-28 09:30:00,9.0
Three/NEO-EM-14864298,20-2,Figari (ACCU),195640.0,2025-09-28 09:30:00,9.0
Three/NEO-EM-21384862,21-1&2,Figari (Lighting & Power),589915.19,2025-09-28 09:44:00,9.0
Three/NEO-EM-28460987,21-1,Figari (ACCU),156911.0,2025-09-28 09:31:00,9.0
Three/NEO-EM-16871323,21-2,Figari (ACCU),146835.0,2025-09-28 09:31:00,9.0
Three/NEO-EM-16126238,22-1&2,QBE Group Shared Services Ltd. (Lighting Power),401884.0,2025-09-28 09:42:00,9.0
Three/NEO-EM-28286899,22-1,QBE Group Shared Services Ltd. (ACCU),304440.0,2025-09-28 09:33:00,9.0
Three/NEO-EM-08851930,22-2,QBE Group Shared Services Ltd. (ACCU),385356.0,2025-09-28 09:37:00,9.0
Three/NEO-EM-21393124,23-1&2,QBE Group Shared Services Ltd. (Lighting Power),241759.0,2025-09-28 09:40:00,9.0
Three/NEO-EM-16871325,23-1,QBE Group Shared Services Ltd. (ACCU),194012.0,2025-09-28 09:40:00,9.0
Three/NEO-EM-16871266,23-2,QBE Group Shared Services Ltd. (ACCU),364424.0,2025-09-28 09:40:00,9.0
Three/NEO-EM-59072030,24-1&2,QBE Group Shared Services Ltd. (Lighting Power),161048.0,2025-09-28 09:40:00,9.0
Three/NEO-EM-50017913,24-1,QBE Group Shared Services Ltd. (ACCU),289504.0,2025-09-28 09:35:00,9.0
Three/NEO-EM-14864297,24-2,QBE Group Shared Services Ltd. (ACCU),290680.0,2025-09-28 09:35:00,9.0
Three/NEO-EM-15024618,,QBE/Tyler Technologies Philippines./Acquire (Server Room ACCU),23267.0,2025-09-28 09:39:00,9.0
Three/NEO-EM-16871267,,QBE/Tyler Technologies Philippines./Acquire (Wall Mounted ACCU),65774.0,2025-09-28 09:28:00,9.0
Three/NEO-EM-85000291,Telco 2,"MDF Telco Room (Lighting, Equipment)",6269.0,2025-09-28 10:19:00,9.0
Three/NEO-EM-85000246, Telco 5 ,Telco room 5 (Lighting & Power),5045.0,2025-09-28 10:15:00,9.0
Three/NEO-EM-28922978,PPX,"Parking, Admin, Lobby",23229.0,2025-09-28 10:19:00,9.0
Three/NEO-EM-14969058,,CTC Feeder Pumps,2032.0,2025-09-28 10:20:00,9.0
Three/NEO-EM-14969079,,CTCFeeder Admin,19871.0,2025-09-28 10:20:00,9.0
Three/NEO-EM-08951809,,Elevator #1-6,3737.0,2025-09-28 10:20:00,9.0
Three/NEO-EM-09854296,,Spare Meter,5115.0,2025-09-28 10:20:00,9.0
Three/NEO-EM-85000249,,7th Floor Common Area (Lighting & Power),88375.0,2025-09-28 10:06:00,9.0
Three/NEO-EM-85000247,,8th Floor Common Area (Lighting & Power),78355.0,2025-09-28 10:05:00,9.0
Three/NEO-EM-85000248,,9th Floor Common Area (Lighting & Power),81079.0,2025-09-28 10:03:00,9.0
Three/NEO-EM-85000148,,10th Floor Common Area (Lighting & Power),81268.0,2025-09-28 10:00:00,9.0
Three/NEO-EM-85000225,,11th Floor Common Area (Lighting & Power),77466.0,2025-09-28 09:59:00,9.0
Three/NEO-EM-85000228,,12th Floor Common Area (Lighting & Power),75691.0,2025-09-28 09:58:00,9.0
Three/NEO-EM-85000251,,14th Floor Common Area (Lighting & Power),83204.0,2025-09-28 09:56:00,9.0
Three/NEO-EM-85000224,,15th Floor Common Area (Lighting & Power),85732.0,2025-09-28 09:55:00,9.0
Three/NEO-EM-85000250,,16th Floor Common Area (Lighting & Power),84910.0,2025-09-28 09:52:00,9.0
Three/NEO-EM-85000244,,17th Floor Common Area (Lighting & Power),78294.0,2025-09-28 09:52:00,9.0
Three/NEO-EM-85000253,,18th Floor Common Area (Lighting & Power),80674.0,2025-09-28 09:50:00,9.0
Three/NEO-EM-85000252,,19th Floor Common Area (Lighting & Power),85563.0,2025-09-28 09:49:00,9.0
Three/NEO-EM-85000185,,20th Floor Common Area (Lighting & Power),86926.0,2025-09-28 09:47:00,9.0
Three/NEO-EM-85000242,,21st Floor Common Area (Lighting & Power),88466.0,2025-09-28 09:45:00,9.0
Three/NEO-EM-85000241,,22nd Floor Common Area (Lighting & Power),92005.0,2025-09-28 09:43:00,9.0
Three/NEO-EM-85000245,,23rd Floor Common Area (Lighting & Power),85100.0,2025-09-28 09:41:00,9.0
Three/NEO-EM-85000243,,Penthouse Common Area (Lighting & Power),63299.0,2025-09-28 09:39:00,9.0
Three/NEO-EM-08851888,Shop 1,QBE Exclusive Lobby,86714.0,2025-08-26 11:18:00,9.0
Three/NEO-EM-50017916,Shop 1,QBE Exclusive Lobby - AC,208391.0,2025-08-26 10:14:00,9.0
Three/NEO-EM-17873389,Shop 2,Security Bank,92135.0,2025-08-26 11:18:00,9.0
Three/NEO-EM-28286903,Shop 2,Security Bank - AC,112694.0,2025-08-26 10:14:00,9.0
Three/NEO-EM-16871324,Shop 3,7 Eleven,421106.0,2025-08-26 11:20:00,9.0
Three/NEO-EM-08852422,Shop 3,7 Eleven - AC,379033.0,2025-08-26 10:08:00,9.0
50017779,PP-Tel,Telco Room Main Meter,279386.0,2025-08-26 11:18:00,9.0
Three/NEO-EM-350186738, Telco 3 ,"Globe Telco Room (Lighting, Equipment)",120335.0,2025-08-26 11:37:00,9.0
Three/NEO-EM-85000220, Telco 4 ,"PLDT Telco Room (Lighting, Equipment)",66051.0,2025-08-26 11:36:00,9.0
Three/NEO-EM-28601725, Telco 6 ,"Bayantel Telco Room (Lighting, Equipment)",83232.0,2025-08-26 11:17:00,9.0
Three/NEO-EM-21410564,,Sun (Pico Cell),374045.83,,
Three/NEO-EM-50017915,,Globe (Pico Cell),209442.0,2025-08-26 11:18:00,9.0
Three/NEO-EM-52940319,,Radius,566.0,2025-08-26 11:34:00,9.0
