Floor,Breaker,Area,Meter #,Tenant,Units,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 1902 [kWh],Roof Deck HVAC Center,16870425,HC Consumer Finance Philippines Inc.,NEO_1902,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2001 [kWh],Roof Deck HVAC Center,23549655,Figari,NEO_2001,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2002 [kWh],Roof Deck HVAC Center,14864298,Figari,NEO_2002,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2101 [kWh],Roof Deck HVAC Center,28460987,Figari,NEO_2101,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2102 [kWh],Roof Deck HVAC Center,16871323,Figari,NEO_2102,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2201 [kWh],Roof Deck HVAC Center,28286899,QBE Group Shared Services Ltd.,NEO_2201,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2202 [kWh],Roof Deck HVAC Center,8851930,QBE Group Shared Services Ltd.,NEO_2202,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2301 [kWh],Roof Deck HVAC Center,16871325,QBE Group Shared Services Ltd.,NEO_2301,,,,,,,,,,,,,,,,,,
Roof Deck,MCB - 2302 [kWh],Roof Deck HVAC Center,16871266,QBE Group Shared Services Ltd.,NEO_2302,,,,,,,,,,,,,,,,,,
Roof Deck,PH 1 [kWh],Roof Deck HVAC Center,14864297,QBE Group Shared Services Ltd.,NEO_2401,,,,,,,,,,,,,,,,,,
Roof Deck,PH 2 [kWh],Roof Deck HVAC Center,500017913,QBE Group Shared Services Ltd.,NEO_2402,,,,,,,,,,,,,,,,,,
GF,QBE,Ground Floor Genset Area,8851888,QBE Group Shared Services Ltd. - Lobby,NEO_GF01,,,,,,,,,,,,,,,,,,
GF,SECURITY BANK,Ground Floor Genset Area,17873389,Security Bank,NEO_GF02,,,,,,,,,,,,,,,,,,
GF,7/11,Ground Floor Genset Area,16871324,7Eleven,NEO_GF03,,,,,,,,,,,,,,,,,,
