Date,Consumption [kW],ECB 2301 150A [kW],ECB 2201 150A [kW],EBC 2401 150A [kW]
2025-07-24 17:35:00,0,"10,855","10,099","9,93"
2025-07-24 17:30:00,0,"10,322","10,243","9,89"
2025-07-24 17:25:00,0,"10,358","10,128","10,106"
2025-07-24 17:20:00,0,"10,183","9,962","10,178"
2025-07-24 17:15:00,0,"10,382","10,018","10,517"
2025-07-24 17:10:00,0,"10,13","9,97","10,645"
2025-07-24 17:05:00,0,"10,588","11,11","10,351"
2025-07-24 17:00:00,0,"10,566","10,049","10,21"
2025-07-24 16:55:00,0,"11,005","10,02","10,318"
2025-07-24 16:50:00,0,"10,526","10,007","10,141"
2025-07-24 16:45:00,0,"10,87","10,746","10,154"
2025-07-24 16:40:00,0,"11,059","10,152","10,352"
2025-07-24 16:35:00,0,"10,907","10,061","10,342"
2025-07-24 16:30:00,0,"10,896","10,213","10,402"
2025-07-24 16:25:00,0,"11,484","9,911","10,166"
2025-07-24 16:20:00,0,"10,828","10,237","10,214"
2025-07-24 16:15:00,0,"10,957","10,589","10,297"
2025-07-24 16:10:00,0,"10,516","11,456","10,29"
2025-07-24 16:05:00,0,"11,276","10,676","10,433"
2025-07-24 16:00:00,0,"10,777","10,634","10,945"
2025-07-24 15:55:00,0,"10,856","11,957","10,297"
2025-07-24 15:50:00,0,"10,913","11,134","10,62"
2025-07-24 15:45:00,0,"11,31","10,352","10,354"
2025-07-24 15:40:00,0,"10,489","10,398","10,501"
2025-07-24 15:35:00,0,"10,704","10,661","10,212"
2025-07-24 15:30:00,0,"11,042","10,57","10,163"
2025-07-24 15:25:00,0,"10,592","10,512","10,426"
2025-07-24 15:20:00,0,"10,331","10,498","10,463"
2025-07-24 15:15:00,0,"10,79","10,812","10,788"
2025-07-24 15:10:00,0,"10,374","12,443","10,82"
2025-07-24 15:05:00,0,"11,075","10,868","10,681"
2025-07-24 15:00:00,0,"10,702","10,92","10,612"
2025-07-24 14:55:00,0,"10,59","11,13","10,435"
2025-07-24 14:50:00,0,"10,5","11,216","10,465"
2025-07-24 14:45:00,0,"10,129","10,903","10,715"
2025-07-24 14:40:00,0,"10,508","11,636","10,676"
2025-07-24 14:35:00,0,"10,553","11,288","10,994"
2025-07-24 14:30:00,0,"11,029","10,922","10,499"
2025-07-24 14:25:00,0,"10,762","10,465","10,531"
2025-07-24 14:20:00,0,"10,765","10,686","10,573"
2025-07-24 14:15:00,0,"10,386","10,892","10,322"
2025-07-24 14:10:00,0,"10,48","11,126","10,62"
2025-07-24 14:05:00,0,"10,139","10,484","10,445"
2025-07-24 14:00:00,0,"9,931","10,68","10,772"
2025-07-24 13:55:00,0,"10,679","10,632","10,994"
2025-07-24 13:50:00,0,"10,085","10,736","10,541"
2025-07-24 13:45:00,0,"10,109","11,257","10,694"
2025-07-24 13:40:00,0,"10,698","11,776","10,562"
2025-07-24 13:35:00,0,"10,588","10,487","10,45"
2025-07-24 13:30:00,0,"10,739","10,476","10,537"
2025-07-24 13:25:00,0,"10,429","10,704","10,39"
2025-07-24 13:20:00,0,"10,511","10,76","10,541"
2025-07-24 13:15:00,0,"10,216","11,543","10,396"
2025-07-24 13:10:00,0,"10,092","10,426","10,798"
2025-07-24 13:05:00,0,"10,45","10,903","10,044"
2025-07-24 13:00:00,0,"10,528","11,311","10,412"
2025-07-24 12:55:00,0,"10,465","11,291","10,247"
2025-07-24 12:50:00,0,"10,422","10,801","10,387"
2025-07-24 12:45:00,0,"11,19","10,614","10,09"
2025-07-24 12:40:00,0,"11,762","10,506","10,096"
2025-07-24 12:35:00,0,"11,86","10,745","10,236"
2025-07-24 12:30:00,0,"11,364","11,368","10,212"
2025-07-24 12:25:00,0,"10,588","10,382","10,34"
2025-07-24 12:20:00,0,"11,095","10,465","10,488"
2025-07-24 12:15:00,0,"12,302","11,588","10,375"
2025-07-24 12:10:00,0,"13,091","10,328","10,409"
2025-07-24 12:05:00,0,"14,158","10,414","10,681"
2025-07-24 12:00:00,0,"12,931","10,444","10,12"
2025-07-24 11:55:00,0,"14,105","10,705","10,142"
2025-07-24 11:50:00,0,"14,377","10,603","10,177"
2025-07-24 11:45:00,0,"11,742","10,36","10,776"
2025-07-24 11:40:00,0,"10,746","10,908","10,691"
2025-07-24 11:35:00,0,"10,938","10,794","9,829"
2025-07-24 11:30:00,0,"9,997","10,57","9,902"
2025-07-24 11:25:00,0,"10,129","10,564","10,532"
2025-07-24 11:20:00,0,"10,204","11,105","10,14"
2025-07-24 11:15:00,0,"10,766","11,629","10,205"
2025-07-24 11:10:00,0,"10,23","10,538","10,14"
2025-07-24 11:05:00,0,"11,476","10,446","10,445"
2025-07-24 11:00:00,0,"11,188","10,394","10,006"
2025-07-24 10:55:00,0,"10,841","10,742","9,784"
2025-07-24 10:50:00,0,"10,35","11,09","9,63"
2025-07-24 10:45:00,0,"10,642","11,113","9,749"
2025-07-24 10:40:00,0,"10,525","10,91","9,877"
2025-07-24 10:35:00,0,"10,898","10,402","9,821"
2025-07-24 10:30:00,0,"10,789","10,771","9,782"
2025-07-24 10:25:00,0,"10,277","10,673","9,53"
2025-07-24 10:20:00,0,"10,938","11,69","9,589"
2025-07-24 10:15:00,0,"10,62","10,95","9,533"
2025-07-24 10:10:00,0,"10,67","11,843","9,68"
2025-07-24 10:05:00,0,"10,855","10,645","9,203"
2025-07-24 10:00:00,0,"10,535","11,01","9,259"
2025-07-24 09:55:00,0,"10,837","10,94","9,554"
2025-07-24 09:50:00,0,"10,511","10,463","9,625"
2025-07-24 09:45:00,0,"10,585","10,849","9,311"
2025-07-24 09:40:00,0,"10,484","10,278","9,355"
2025-07-24 09:35:00,0,"10,283","10,198","9,409"
2025-07-24 09:30:00,0,"11,51","10,549","9,81"
2025-07-24 09:25:00,0,"10,363","10,542","9,113"
2025-07-24 09:20:00,0,"10,139","11,339","9,242"
2025-07-24 09:15:00,0,"10,612","10,364","9,031"
2025-07-24 09:10:00,0,"10,409","11,095","9,166"
2025-07-24 09:05:00,0,"9,96","10,85","9,764"
2025-07-24 09:00:00,0,"9,738","10,656","9,775"
2025-07-24 08:55:00,0,"9,469","10,505","9,352"
2025-07-24 08:50:00,0,"10,192","10,699","9,278"
2025-07-24 08:45:00,0,"10,435","11,491","9,307"
2025-07-24 08:40:00,0,"9,788","10,735","9,476"
2025-07-24 08:35:00,0,"10,042","10,8","9,294"
2025-07-24 08:30:00,0,"10,259","10,579","9,18"
2025-07-24 08:25:00,0,"9,774","11,114","9,152"
2025-07-24 08:20:00,0,"10,421","11,299","9,356"
2025-07-24 08:15:00,0,"10,825","10,518","9,059"
2025-07-24 08:10:00,0,"10,583","10,32","9,15"
2025-07-24 08:05:00,0,"10,752","10,234","8,987"
2025-07-24 08:00:00,0,"9,937","10,11","9,107"
2025-07-24 07:55:00,0,"9,803","10,133","9,488"
2025-07-24 07:50:00,0,"9,21","10,909","9,359"
2025-07-24 07:45:00,0,"9,485","10,327","9,199"
2025-07-24 07:40:00,0,"9,325","9,937","9,373"
2025-07-24 07:35:00,0,"9,419","10,352","9,738"
2025-07-24 07:30:00,0,"12,104","9,974","9,336"
2025-07-24 07:25:00,0,"11,586","11,197","9,102"
2025-07-24 07:20:00,0,"11,904","10,138","9,07"
2025-07-24 07:15:00,0,"12,352","10,171","9,132"
2025-07-24 07:10:00,0,"12,239","9,932","9,734"
2025-07-24 07:05:00,0,"12,61","9,901","10,03"
2025-07-24 07:00:00,0,"10,316","9,99","10,102"
2025-07-24 06:55:00,0,"9,119","10,138","9,758"
2025-07-24 06:50:00,0,"9,114","9,833","9,419"
2025-07-24 06:45:00,0,"9,336","10,62","9,012"
2025-07-24 06:40:00,0,"9,17","10,559","8,97"
2025-07-24 06:35:00,0,"9,641","10,187","8,962"
2025-07-24 06:30:00,0,"9,64","9,988","8,948"
2025-07-24 06:25:00,0,"9,503","11,003","9,39"
2025-07-24 06:20:00,0,"10,022","9,79","8,813"
2025-07-24 06:15:00,0,"9,932","9,931","8,819"
2025-07-24 06:10:00,0,"9,398","9,943","9,01"
2025-07-24 06:05:00,0,"9,916","10,57","8,862"
2025-07-24 06:00:00,0,"9,424","9,839","8,816"
2025-07-24 05:55:00,0,"9,281","9,882","8,81"
2025-07-24 05:50:00,0,"9,359","9,918","9,049"
2025-07-24 05:45:00,0,"9,664","10,166","8,968"
2025-07-24 05:40:00,0,"9,826","9,866","8,98"
2025-07-24 05:35:00,0,"9,758","9,871","8,696"
2025-07-24 05:30:00,0,"9,661","11,423","8,75"
2025-07-24 05:25:00,0,"9,356","9,918","9,682"
2025-07-24 05:20:00,0,"8,954","10,238","9,493"
2025-07-24 05:15:00,0,"8,88","10,202","9,445"
2025-07-24 05:10:00,0,"9,083","10,496","9,545"
2025-07-24 05:05:00,0,"9,148","9,912","8,993"
2025-07-24 05:00:00,0,"10,024","9,938","8,912"
2025-07-24 04:55:00,0,"11,731","9,989","9,079"
2025-07-24 04:50:00,0,"11,917","10,236","8,862"
2025-07-24 04:45:00,0,"12,086","10,027","8,779"
2025-07-24 04:40:00,0,"12,428","9,962","8,864"
2025-07-24 04:35:00,0,"11,766","10,194","8,798"
2025-07-24 04:30:00,0,"9,793","11,414","9,196"
2025-07-24 04:25:00,0,"8,713","9,998","8,716"
2025-07-24 04:20:00,0,"8,664","10,111","8,731"
2025-07-24 04:15:00,0,"9,174","10,132","8,874"
2025-07-24 04:10:00,0,"9,079","10,181","8,92"
2025-07-24 04:05:00,0,"9,072","10,061","9,325"
2025-07-24 04:00:00,0,"9,212","9,989","9,254"
2025-07-24 03:55:00,0,"8,983","10,028","9,109"
2025-07-24 03:50:00,0,"9,191","10,436","8,848"
2025-07-24 03:45:00,0,"9,618","10,078","8,788"
2025-07-24 03:40:00,0,"9,714","10,064","9,011"
2025-07-24 03:35:00,0,"9,304","10,123","8,73"
2025-07-24 03:30:00,0,"9,326","11,171","9,02"
2025-07-24 03:25:00,0,"9,298","10,08","8,879"
2025-07-24 03:20:00,0,"9,293","10,009","9,178"
2025-07-24 03:15:00,0,"9,392","10,025","9,437"
2025-07-24 03:10:00,0,"8,899","10,462","9,454"
2025-07-24 03:05:00,0,"9,097","10,17","9,017"
2025-07-24 03:00:00,0,"8,996","10,829","8,809"
2025-07-24 02:55:00,0,"9,356","10,189","8,645"
2025-07-24 02:50:00,0,"9,914","10,28","8,766"
2025-07-24 02:45:00,0,"9,622","10,069","8,773"
2025-07-24 02:40:00,0,"9,306","10,025","8,789"
2025-07-24 02:35:00,0,"9,26","10,789","9,552"
2025-07-24 02:30:00,0,"9,368","10,477","9,018"
2025-07-24 02:25:00,0,"9,229","10,397","9,671"
2025-07-24 02:20:00,0,"9,404","10,007","8,627"
2025-07-24 02:15:00,0,"9,047","10,152","8,63"
2025-07-24 02:10:00,0,"9,252","10,096","8,506"
2025-07-24 02:05:00,0,"9,253","10,099","8,573"
2025-07-24 02:00:00,0,"9,43","10,168","8,562"
2025-07-24 01:55:00,0,"9,898","10,451","9,032"
2025-07-24 01:50:00,0,"9,784","10,391","8,8"
2025-07-24 01:45:00,0,"9,644","10,177","8,974"
2025-07-24 01:40:00,0,"9,036","10,315","8,755"
2025-07-24 01:35:00,0,"9,11","11,096","8,626"
2025-07-24 01:30:00,0,"9,306","10,213","8,615"
2025-07-24 01:25:00,0,"9,042","10,214","8,694"
2025-07-24 01:20:00,0,"8,916","10,172","8,874"
2025-07-24 01:15:00,0,"8,936","10,279","8,945"
2025-07-24 01:10:00,0,"9,191","10,044","8,578"
2025-07-24 01:05:00,0,"9,281","10,112","8,605"
2025-07-24 01:00:00,0,"9,244","10,633","8,855"
2025-07-24 00:55:00,0,"9,421","10,368","8,843"
2025-07-24 00:50:00,0,"9,524","10,085","9,203"
2025-07-24 00:45:00,0,"9,07","10,22","9,233"
2025-07-24 00:40:00,0,"8,911","9,989","9,461"
2025-07-24 00:35:00,0,"9,107","11,116","9,81"
2025-07-24 00:30:00,0,"9,125","10,117","9,211"
2025-07-24 00:25:00,0,"8,97","10,382","9,252"
2025-07-24 00:20:00,0,"8,786","10,175","9,308"
2025-07-24 00:15:00,0,"9,288","10,048","9,458"
2025-07-24 00:10:00,0,"9,012","10,326","9,33"
2025-07-24 00:05:00,0,"9,421","10,476","9,293"
2025-07-24 00:00:00,0,"9,576","10,102","9,71"
2025-07-23 23:55:00,0,"9,94","9,638","9,006"
2025-07-23 23:50:00,0,"10,025","9,906","9,185"
2025-07-23 23:45:00,0,"9,608","9,82","8,951"
2025-07-23 23:40:00,0,"9,341","9,811","8,892"
2025-07-23 23:35:00,0,"9,727","10,522","9,004"
2025-07-23 23:30:00,0,"9,64","9,996","9,151"
2025-07-23 23:25:00,0,"9,918","9,624","9,265"
2025-07-23 23:20:00,0,"9,514","9,578","9,356"
2025-07-23 23:15:00,0,"9,116","10,574","9,307"
2025-07-23 23:10:00,0,"9,134","10,042","9,096"
2025-07-23 23:05:00,0,"9,782","9,659","9,326"
2025-07-23 23:00:00,0,"9,883","9,955","9,32"
2025-07-23 22:55:00,0,"10,19","10,013","9,026"
2025-07-23 22:50:00,0,"9,278","10,262","8,952"
2025-07-23 22:45:00,0,"9,287","10,624","9,072"
2025-07-23 22:40:00,0,"8,914","10,742","9,575"
2025-07-23 22:35:00,0,"9,161","10,542","9,209"
2025-07-23 22:30:00,0,"9,349","9,992","9,084"
2025-07-23 22:25:00,0,"9,094","9,826","8,918"
2025-07-23 22:20:00,0,"9,084","9,941","9,106"
2025-07-23 22:15:00,0,"9,192","10,315","8,968"
2025-07-23 22:10:00,0,"10,21","9,923","9,096"
2025-07-23 22:05:00,0,"9,803","9,977","9,136"
2025-07-23 22:00:00,0,"9,642","10,493","9,14"
2025-07-23 21:55:00,0,"9,326","10,001","9,289"
2025-07-23 21:50:00,0,"9,198","9,9","9,328"
2025-07-23 21:45:00,0,"9,137","9,964","9,085"
2025-07-23 21:40:00,0,"9,101","10,968","8,911"
2025-07-23 21:35:00,0,"9,06","10,11","9,044"
2025-07-23 21:30:00,0,"9,337","10,237","9,194"
2025-07-23 21:25:00,0,"9,182","10,456","9,131"
2025-07-23 21:20:00,0,"9,565","10,412","9,242"
2025-07-23 21:15:00,0,"10,043","9,907","9,314"
2025-07-23 21:10:00,0,"9,851","9,905","9,515"
2025-07-23 21:05:00,0,"10,29","10,044","9,346"
2025-07-23 21:00:00,0,"9,364","10,362","9,227"
2025-07-23 20:55:00,0,"9,834","10,075","9,371"
2025-07-23 20:50:00,0,"9,462","10,015","9,232"
2025-07-23 20:45:00,0,"9,217","9,917","9,438"
2025-07-23 20:40:00,0,"9,414","11,196","9,307"
2025-07-23 20:35:00,0,"9,42","10,273","9,436"
2025-07-23 20:30:00,0,"9,876","10,079","9,674"
2025-07-23 20:25:00,0,"9,896","10,176","9,485"
2025-07-23 20:20:00,0,"9,66","10,318","9,96"
2025-07-23 20:15:00,0,"9,464","10,349","9,389"
2025-07-23 20:10:00,0,"9,43","10,457","9,318"
2025-07-23 20:05:00,0,"9,406","10,466","9,307"
2025-07-23 20:00:00,0,"9,314","10,282","9,328"
2025-07-23 19:55:00,0,"9,319","10,21","9,466"
2025-07-23 19:50:00,0,"9,253","10,242","9,734"
2025-07-23 19:45:00,0,"8,878","10,3","9,662"
2025-07-23 19:40:00,0,"8,874","11,041","9,695"
2025-07-23 19:35:00,0,"9,143","10,391","9,755"
2025-07-23 19:30:00,0,"8,917","10,366","10,062"
2025-07-23 19:25:00,0,"8,935","10,643","9,608"
2025-07-23 19:20:00,0,"10,364","10,602","9,508"
2025-07-23 19:15:00,0,"9,071","10,866","9,724"
2025-07-23 19:10:00,0,"9,794","10,956","9,8"
2025-07-23 19:05:00,0,"9,527","11,222","9,508"
2025-07-23 19:00:00,0,"10,16","11,149","9,582"
2025-07-23 18:55:00,0,"10,669","10,405","9,596"
2025-07-23 18:50:00,0,"10,114","10,896","10,608"
2025-07-23 18:45:00,0,"9,87","11,399","11,059"
2025-07-23 18:40:00,0,"9,425","10,57","9,852"
2025-07-23 18:35:00,0,"8,88","10,208","10,106"
2025-07-23 18:30:00,0,"8,876","10,242","9,883"
2025-07-23 18:25:00,0,"9,251","10,631","9,746"
2025-07-23 18:20:00,0,"8,894","10,294","9,787"
2025-07-23 18:15:00,0,"8,942","10,378","9,684"
2025-07-23 18:10:00,0,"9,061","10,859","9,895"
2025-07-23 18:05:00,0,"9,144","10,206","9,924"
2025-07-23 18:00:00,0,"9,218","10,346","9,73"
2025-07-23 17:55:00,0,"8,924","10,074","10,13"
2025-07-23 17:50:00,0,"9,037","10,158","9,798"
2025-07-23 17:45:00,0,"9,241","11,455","9,84"
2025-07-23 17:40:00,0,"8,905","10,742","10,242"
2025-07-23 17:35:00,0,"9,5","10,51","10,231"
2025-07-23 17:30:00,0,"9,576","10,176","9,713"
2025-07-23 17:25:00,0,"9,352","10,036","9,443"
2025-07-23 17:20:00,0,"9,4","10,446","9,341"
2025-07-23 17:15:00,0,"9,772","10,249","9,432"
2025-07-23 17:10:00,0,"9,724","10,35","10,094"
2025-07-23 17:05:00,0,"9,815","10,435","9,961"
2025-07-23 17:00:00,0,"9,421","10,732","9,608"
2025-07-23 16:55:00,0,"9,395","10,391","9,738"
2025-07-23 16:50:00,0,"9,179","10,147","9,541"
2025-07-23 16:45:00,0,"9,673","11,111","9,438"
2025-07-23 16:40:00,0,"9,632","10,308","9,472"
2025-07-23 16:35:00,0,"9,223","10,012","9,66"
2025-07-23 16:30:00,0,"9,755","9,968","10,77"
2025-07-23 16:25:00,0,"9,254","10,18","9,504"
2025-07-23 16:20:00,0,"9,628","10,313","9,547"
2025-07-23 16:15:00,0,"9,911","10,442","10,042"
2025-07-23 16:10:00,0,"9,498","10,244","9,905"
2025-07-23 16:05:00,0,"9,259","10,255","9,668"
2025-07-23 16:00:00,0,"9,221","10,304","9,637"
2025-07-23 15:55:00,0,"8,855","10,136","9,85"
2025-07-23 15:50:00,0,"8,84","10,696","9,793"
2025-07-23 15:45:00,0,"8,681","10,702","9,955"
2025-07-23 15:40:00,0,"9,052","10,252","9,553"
2025-07-23 15:35:00,0,"9,563","10,108","9,428"
2025-07-23 15:30:00,0,"9,338","10,128","9,707"
2025-07-23 15:25:00,0,"9,397","10,493","9,827"
2025-07-23 15:20:00,0,"8,692","10,543","10,433"
2025-07-23 15:15:00,0,"8,596","10,159","9,688"
2025-07-23 15:10:00,0,"8,893","10,178","10,495"
2025-07-23 15:05:00,0,"8,813","10,262","9,65"
2025-07-23 15:00:00,0,"8,372","10,02","9,619"
2025-07-23 14:55:00,0,"8,67","10,06","9,623"
2025-07-23 14:50:00,0,"9,14","11,724","10,104"
2025-07-23 14:45:00,0,"9,294","10,823","9,714"
2025-07-23 14:40:00,0,"9,518","10,41","9,655"
2025-07-23 14:35:00,0,"9,514","10,384","9,575"
2025-07-23 14:30:00,0,"9,395","10,507","9,526"
2025-07-23 14:25:00,0,"9,144","11,161","10,075"
2025-07-23 14:20:00,0,"9,168","10,757","9,618"
2025-07-23 14:15:00,0,"9,124","10,784","9,68"
2025-07-23 14:10:00,0,"8,914","10,9","9,952"
2025-07-23 14:05:00,0,"9,164","11,035","9,877"
2025-07-23 14:00:00,0,"9,444","10,628","9,612"
2025-07-23 13:55:00,0,"9,312","10,531","9,974"
2025-07-23 13:50:00,0,"9,763","11,288","9,834"
2025-07-23 13:45:00,0,"9,756","10,289","9,871"
2025-07-23 13:40:00,0,"9,508","10,117","9,565"
2025-07-23 13:35:00,0,"9,252","10,429","9,667"
2025-07-23 13:30:00,0,"8,933","10,286","10,008"
2025-07-23 13:25:00,0,"9,515","10,897","9,947"
2025-07-23 13:20:00,0,"9,07","10,594","9,432"
2025-07-23 13:15:00,0,"8,873","11,004","9,396"
2025-07-23 13:10:00,0,"9,589","10,616","9,83"
2025-07-23 13:05:00,0,"8,809","10,751","9,57"
2025-07-23 13:00:00,0,"8,959","10,465","9,653"
2025-07-23 12:55:00,0,"9,294","10,451","9,451"
2025-07-23 12:50:00,0,"8,819","11,63","9,474"
2025-07-23 12:45:00,0,"9,019","10,77","9,956"
2025-07-23 12:40:00,0,"9,192","11,033","9,714"
2025-07-23 12:35:00,0,"9,86","10,384","10,018"
2025-07-23 12:30:00,0,"9,757","10,462","9,668"
2025-07-23 12:25:00,0,"9,733","10,565","9,779"
2025-07-23 12:20:00,0,"11,022","10,702","9,823"
2025-07-23 12:15:00,0,"9,715","10,674","9,607"
2025-07-23 12:10:00,0,"9,103","10,609","10,798"
2025-07-23 12:05:00,0,"9,106","10,723","10,042"
2025-07-23 12:00:00,0,"9,016","11,261","9,852"
2025-07-23 11:55:00,0,"9,41","11,132","9,685"
2025-07-23 11:50:00,0,"9,36","10,91","9,655"
2025-07-23 11:45:00,0,"9,101","10,429","9,614"
2025-07-23 11:40:00,0,"9,781","10,757","10,357"
2025-07-23 11:35:00,0,"9,848","10,372","10,54"
2025-07-23 11:30:00,0,"9,178","10,685","9,88"
2025-07-23 11:25:00,0,"9,709","11,328","9,907"
2025-07-23 11:20:00,0,"8,861","10,487","9,614"
2025-07-23 11:15:00,0,"8,622","10,6","9,479"
2025-07-23 11:10:00,0,"8,646","10,279","9,619"
2025-07-23 11:05:00,0,"8,76","10,877","9,689"
2025-07-23 11:00:00,0,"9,12","10,548","9,714"
2025-07-23 10:55:00,0,"8,642","11,243","9,695"
2025-07-23 10:50:00,0,"9,222","11,036","9,337"
2025-07-23 10:45:00,0,"10,302","10,378","9,75"
2025-07-23 10:40:00,0,"9,115","10,438","9,376"
2025-07-23 10:35:00,0,"8,939","10,421","9,451"
2025-07-23 10:30:00,0,"9,016","10,462","9,73"
2025-07-23 10:25:00,0,"8,999","10,602","9,742"
2025-07-23 10:20:00,0,"9,371","10,678","9,476"
2025-07-23 10:15:00,0,"9,052","10,489","9,68"
2025-07-23 10:10:00,0,"9,792","10,577","9,521"
2025-07-23 10:05:00,0,"8,722","10,255","9,677"
2025-07-23 10:00:00,0,"8,75","10,346","9,384"
2025-07-23 09:55:00,0,"9,372","11,834","9,35"
2025-07-23 09:50:00,0,"9,27","10,234","9,546"
2025-07-23 09:45:00,0,"9,004","10,055","9,382"
2025-07-23 09:40:00,0,"8,972","10,405","9,449"
2025-07-23 09:35:00,0,"8,64","10,932","9,602"
2025-07-23 09:30:00,0,"8,845","10,372","10,279"
2025-07-23 09:25:00,0,"8,605","10,396","9,953"
2025-07-23 09:20:00,0,"8,674","10,711","9,592"
2025-07-23 09:15:00,0,"8,483","10,352","10,25"
2025-07-23 09:10:00,0,"8,214","10,128","9,534"
2025-07-23 09:05:00,0,"8,342","10,298","9,631"
2025-07-23 09:00:00,0,"8,684","10,601","9,788"
2025-07-23 08:55:00,0,"8,968","10,939","9,734"
2025-07-23 08:50:00,0,"8,699","10,522","9,328"
2025-07-23 08:45:00,0,"8,821","10,586","9,522"
2025-07-23 08:40:00,0,"9,03","10,295","9,569"
2025-07-23 08:35:00,0,"8,426","10,266","9,558"
2025-07-23 08:30:00,0,"8,466","10,775","9,972"
2025-07-23 08:25:00,0,"8,765","10,322","10,104"
2025-07-23 08:20:00,0,"8,327","10,141","9,617"
2025-07-23 08:15:00,0,"8,72","10,157","9,245"
2025-07-23 08:10:00,0,"8,79","10,321","9,653"
2025-07-23 08:05:00,0,"8,714","10,39","9,31"
2025-07-23 08:00:00,0,"9,205","11,17","9,544"
2025-07-23 07:55:00,0,"8,623","10,092","9,307"
2025-07-23 07:50:00,0,"8,573","10,994","8,996"
2025-07-23 07:45:00,0,"8,364","10,448","9,488"
2025-07-23 07:40:00,0,"8,819","10,135","9,781"
2025-07-23 07:35:00,0,"9,281","10,313","9,551"
2025-07-23 07:30:00,0,"8,582","10,106","8,972"
2025-07-23 07:25:00,0,"9,275","10,409","9,077"
2025-07-23 07:20:00,0,"9,504",10,"9,559"
2025-07-23 07:15:00,0,"9,712","10,193","8,882"
2025-07-23 07:10:00,0,"9,888","9,773","9,323"
2025-07-23 07:05:00,0,"9,006","9,799","8,951"
2025-07-23 07:00:00,0,"8,936","11,1","9,006"
2025-07-23 06:55:00,0,"8,71","10,118","8,983"
2025-07-23 06:50:00,0,"8,534","9,913","9,113"
2025-07-23 06:45:00,0,"8,801","10,028","9,238"
2025-07-23 06:40:00,0,"8,612","9,976","8,36"
2025-07-23 06:35:00,0,"9,329","10,165","8,322"
2025-07-23 06:30:00,0,"9,313","10,213","8,123"
2025-07-23 06:25:00,0,"9,174","10,06","8,395"
2025-07-23 06:20:00,0,"9,082","10,273","8,281"
2025-07-23 06:15:00,0,"8,911","10,007","8,812"
2025-07-23 06:10:00,0,"9,046","10,046","8,8"
2025-07-23 06:05:00,0,"9,599","10,756","9,535"
2025-07-23 06:00:00,0,"9,467","10,819","9,434"
2025-07-23 05:55:00,0,"9,013","10,126","9,173"
2025-07-23 05:50:00,0,"9,019","10,18","9,17"
2025-07-23 05:45:00,0,"8,759","10,732","9,175"
2025-07-23 05:40:00,0,"8,932","10,699","9,313"
2025-07-23 05:35:00,0,"9,155","10,372","9,19"
2025-07-23 05:30:00,0,"9,266","10,402","9,276"
2025-07-23 05:25:00,0,"9,223","10,58","9,613"
2025-07-23 05:20:00,0,"9,116","10,009","9,542"
2025-07-23 05:15:00,0,"9,272","9,836","9,196"
2025-07-23 05:10:00,0,"9,51","10,096","9,269"
2025-07-23 05:05:00,0,"11,618","10,878","9,054"
2025-07-23 05:00:00,0,"12,127","9,8","8,98"
2025-07-23 04:55:00,0,"11,584","9,838","9,53"
2025-07-23 04:50:00,0,"11,206","9,994","9,065"
2025-07-23 04:45:00,0,"11,246","9,916","8,993"
2025-07-23 04:40:00,0,"11,358","10,037","8,963"
2025-07-23 04:35:00,0,"9,856","10,002","9,318"
2025-07-23 04:30:00,0,"9,694","10,25","9,012"
2025-07-23 04:25:00,0,"8,915","9,974","9,052"
2025-07-23 04:20:00,0,"9,368","10,009","9,119"
2025-07-23 04:15:00,0,"9,214","10,123","9,564"
2025-07-23 04:10:00,0,"9,083","9,841","9,094"
2025-07-23 04:05:00,0,"9,166","10,901","8,934"
2025-07-23 04:00:00,0,"8,502","9,79","8,899"
2025-07-23 03:55:00,0,"8,762","10,274","8,878"
2025-07-23 03:50:00,0,"8,603","9,936","9,298"
2025-07-23 03:45:00,0,"8,777","10,012","9,005"
2025-07-23 03:40:00,0,"8,922","10,266","9,154"
2025-07-23 03:35:00,0,"8,896","9,827","9,035"
2025-07-23 03:30:00,0,"9,245","10,01","9,125"
2025-07-23 03:25:00,0,"9,29","9,899","8,968"
2025-07-23 03:20:00,0,"9,529","9,877","9,704"
2025-07-23 03:15:00,0,"10,302","9,95","9,734"
2025-07-23 03:10:00,0,"8,899","10,175","9,215"
2025-07-23 03:05:00,0,"8,521","10,852","9,686"
2025-07-23 03:00:00,0,"8,554","9,932","9,055"
2025-07-23 02:55:00,0,"8,569","9,972","9,043"
2025-07-23 02:50:00,0,"8,9","10,08","8,899"
2025-07-23 02:45:00,0,"8,632","9,818","9,076"
2025-07-23 02:40:00,0,"8,549","9,786","8,957"
2025-07-23 02:35:00,0,"8,862","9,997","8,984"
2025-07-23 02:30:00,0,"9,048","10,392","9,097"
2025-07-23 02:25:00,0,"9,401","9,944","9,04"
2025-07-23 02:20:00,0,"10,145","10,016","9,275"
2025-07-23 02:15:00,0,"8,933","10,15","9,61"
2025-07-23 02:10:00,0,"9,019","10,639","9,114"
2025-07-23 02:05:00,0,"8,815","10,651","9,07"
2025-07-23 02:00:00,0,"8,964","10,063","9,11"
2025-07-23 01:55:00,0,"9,058","10,271","9,59"
2025-07-23 01:50:00,0,"9,064","10,109","9,173"
2025-07-23 01:45:00,0,"9,066","10,057","9,082"
2025-07-23 01:40:00,0,"9,059","10,211","9,106"
2025-07-23 01:35:00,0,"9,542","10,091","9,359"
