Date,Consumption [kW],ECB 1801 150A [kW],ECB 1901 [kW]
2025-07-30 22:55:00,0,"11,954","5,202"
2025-07-30 22:50:00,0,"11,789","5,611"
2025-07-30 22:45:00,0,"11,9","6,366"
2025-07-30 22:40:00,0,"11,675","6,696"
2025-07-30 22:35:00,0,"11,992","6,473"
2025-07-30 22:30:00,0,"12,57","5,255"
2025-07-30 22:25:00,0,"12,408","5,258"
2025-07-30 22:20:00,0,"12,313","6,434"
2025-07-30 22:15:00,0,"12,448","6,44"
2025-07-30 22:10:00,0,"12,383","7,036"
2025-07-30 22:05:00,0,"12,251","5,364"
2025-07-30 22:00:00,0,"12,312","5,25"
2025-07-30 21:55:00,0,"12,025","6,106"
2025-07-30 21:50:00,0,"12,179","6,302"
2025-07-30 21:45:00,0,"11,936","6,865"
2025-07-30 21:40:00,0,"12,2","5,755"
2025-07-30 21:35:00,0,"12,174","5,196"
2025-07-30 21:30:00,0,"11,974","5,962"
2025-07-30 21:25:00,0,"12,346","6,138"
2025-07-30 21:20:00,0,"11,906","6,211"
2025-07-30 21:15:00,0,"11,8","6,799"
2025-07-30 21:10:00,0,"11,9","6,047"
2025-07-30 21:05:00,0,"11,836","5,256"
2025-07-30 21:00:00,0,"11,598","5,772"
2025-07-30 20:55:00,0,"11,66","6,356"
2025-07-30 20:50:00,0,"11,186","7,127"
2025-07-30 20:45:00,0,"11,07","5,521"
2025-07-30 20:40:00,0,"11,197","5,267"
2025-07-30 20:35:00,0,"10,796","5,81"
2025-07-30 20:30:00,0,"10,828","6,653"
2025-07-30 20:25:00,0,"10,771","7,001"
2025-07-30 20:20:00,0,"10,802","6,54"
2025-07-30 20:15:00,0,"11,365","6,541"
2025-07-30 20:10:00,0,"10,7","7,505"
2025-07-30 20:05:00,0,"10,673","7,676"
2025-07-30 20:00:00,0,"10,874","8,105"
2025-07-30 19:55:00,0,"10,813","6,44"
2025-07-30 19:50:00,0,"10,764","6,464"
2025-07-30 19:45:00,0,"10,886","7,452"
2025-07-30 19:40:00,0,"10,948","7,614"
2025-07-30 19:35:00,0,"10,757","7,903"
2025-07-30 19:30:00,0,"10,762","6,692"
2025-07-30 19:25:00,0,"10,71","6,737"
2025-07-30 19:20:00,0,"10,745","7,9"
2025-07-30 19:15:00,0,"10,71","8,303"
2025-07-30 19:10:00,0,"10,643","7,56"
2025-07-30 19:05:00,0,"10,744","6,787"
2025-07-30 19:00:00,0,"10,609","7,162"
2025-07-30 18:55:00,0,"10,804","8,042"
2025-07-30 18:50:00,0,"10,609","8,755"
2025-07-30 18:45:00,0,"10,67","7,532"
2025-07-30 18:40:00,0,"10,758","8,494"
2025-07-30 18:35:00,0,"10,798","9,965"
2025-07-30 18:30:00,0,"11,182","10,712"
2025-07-30 18:25:00,0,"10,801","11,083"
2025-07-30 18:20:00,0,"10,818","10,596"
2025-07-30 18:15:00,0,"10,992","9,9"
2025-07-30 18:10:00,0,"10,919","10,71"
2025-07-30 18:05:00,0,"11,482","13,429"
2025-07-30 18:00:00,0,"10,985","11,88"
2025-07-30 17:55:00,0,"10,842","12,415"
2025-07-30 17:50:00,0,"10,969","11,879"
2025-07-30 17:45:00,0,"10,747","11,256"
2025-07-30 17:40:00,0,"10,77","11,532"
2025-07-30 17:35:00,0,"10,919","13,049"
2025-07-30 17:30:00,0,"10,997","13,057"
2025-07-30 17:25:00,0,"11,101","12,857"
2025-07-30 17:20:00,0,"10,894","13,045"
2025-07-30 17:15:00,0,"10,891","12,829"
2025-07-30 17:10:00,0,"10,796","12,167"
