Date,Consumption [kW],ECB 225 -  21F [kW],ECB 20F [kW]
2025-07-30 22:55:00,0,"10,625","8,042"
2025-07-30 22:50:00,0,"10,624","8,675"
2025-07-30 22:45:00,0,"11,374","8,052"
2025-07-30 22:40:00,0,"11,209","5,653"
2025-07-30 22:35:00,0,"11,359","5,645"
2025-07-30 22:30:00,0,"11,273","5,578"
2025-07-30 22:25:00,0,"11,543","6,32"
2025-07-30 22:20:00,0,"11,37","8,728"
2025-07-30 22:15:00,0,"11,239","9,133"
2025-07-30 22:10:00,0,"11,198","6,758"
2025-07-30 22:05:00,0,"11,774","5,759"
2025-07-30 22:00:00,0,"11,416","5,814"
2025-07-30 21:55:00,0,"11,413","5,722"
2025-07-30 21:50:00,0,"10,766","8,048"
2025-07-30 21:45:00,0,"10,622","8,981"
2025-07-30 21:40:00,0,"10,667","7,939"
2025-07-30 21:35:00,0,"10,705","5,878"
2025-07-30 21:30:00,0,"10,926","5,89"
2025-07-30 21:25:00,0,"10,607","5,544"
2025-07-30 21:20:00,0,"10,742","6,167"
2025-07-30 21:15:00,0,"10,66","8,654"
2025-07-30 21:10:00,0,"10,872","9,245"
2025-07-30 21:05:00,0,"10,404","6,13"
2025-07-30 21:00:00,0,"10,591","5,734"
2025-07-30 20:55:00,0,"11,083","5,857"
2025-07-30 20:50:00,0,"11,03","5,8"
2025-07-30 20:45:00,0,"11,245","7,354"
2025-07-30 20:40:00,0,"11,419","8,68"
2025-07-30 20:35:00,0,"11,238","9,104"
2025-07-30 20:30:00,0,"11,23","5,88"
2025-07-30 20:25:00,0,"11,243","5,826"
2025-07-30 20:20:00,0,"11,519","5,743"
2025-07-30 20:15:00,0,"11,072","6,284"
2025-07-30 20:10:00,0,"11,022","8,609"
2025-07-30 20:05:00,0,"11,384","8,722"
2025-07-30 20:00:00,0,"11,274","6,703"
2025-07-30 19:55:00,0,"11,664","5,938"
2025-07-30 19:50:00,0,"11,86","5,687"
2025-07-30 19:45:00,0,"11,63","5,698"
2025-07-30 19:40:00,0,"11,848","7,616"
2025-07-30 19:35:00,0,"11,932","8,876"
2025-07-30 19:30:00,0,"12,098","8,334"
2025-07-30 19:25:00,0,"11,633","5,686"
2025-07-30 19:20:00,0,"11,677","5,64"
2025-07-30 19:15:00,0,"11,657","5,838"
2025-07-30 19:10:00,0,"12,124","6,076"
2025-07-30 19:05:00,0,"11,782","8,608"
2025-07-30 19:00:00,0,"11,953","8,862"
2025-07-30 18:55:00,0,"11,986","7,724"
2025-07-30 18:50:00,0,"12,202","5,846"
2025-07-30 18:45:00,0,"12,06","5,963"
2025-07-30 18:40:00,0,"11,641","5,833"
2025-07-30 18:35:00,0,"11,495","7,673"
2025-07-30 18:30:00,0,"11,675","10,266"
2025-07-30 18:25:00,0,"11,634","10,692"
2025-07-30 18:20:00,0,"11,495","7,912"
2025-07-30 18:15:00,0,"11,694","7,657"
2025-07-30 18:10:00,0,"11,746","7,883"
2025-07-30 18:05:00,0,"12,008","7,998"
2025-07-30 18:00:00,0,"12,125","10,112"
2025-07-30 17:55:00,0,"11,998","10,808"
2025-07-30 17:50:00,0,"11,936","11,452"
2025-07-30 17:45:00,0,"12,259","8,436"
2025-07-30 17:40:00,0,"12,551","8,502"
2025-07-30 17:35:00,0,"12,214","10,612"
2025-07-30 17:30:00,0,"12,053","11,399"
2025-07-30 17:25:00,0,"12,319","14,502"
2025-07-30 17:20:00,0,"12,751","17,868"
2025-07-30 17:15:00,0,"12,785","17,86"
2025-07-30 17:10:00,0,"12,625","16,667"
2025-07-30 17:05:00,0,"12,676","15,074"
2025-07-30 17:00:00,0,"12,539","15,931"
2025-07-30 16:55:00,0,"12,996","16,368"
2025-07-30 16:50:00,0,"13,46","17,994"
2025-07-30 16:45:00,0,"13,147","18,556"
2025-07-30 16:40:00,0,"13,682","17,633"
2025-07-30 16:35:00,0,"13,402","18,698"
2025-07-30 16:30:00,0,"13,24","22,445"
2025-07-30 16:25:00,0,"13,556","19,45"
2025-07-30 16:20:00,0,"13,594","16,726"
2025-07-30 16:15:00,0,"13,708","17,122"
2025-07-30 16:10:00,0,"13,446","17,958"
2025-07-30 16:05:00,0,"13,44","17,092"
2025-07-30 16:00:00,0,"13,764","18,548"
2025-07-30 15:55:00,0,"14,186","17,839"
2025-07-30 15:50:00,0,"14,2","18,949"
2025-07-30 15:45:00,0,"13,868","17,146"
2025-07-30 15:40:00,0,"13,816","15,169"
2025-07-30 15:35:00,0,"13,526","15,836"
2025-07-30 15:30:00,0,"13,577","18,048"
2025-07-30 15:25:00,0,"14,208","15,917"
2025-07-30 15:20:00,0,"14,072","19,26"
2025-07-30 15:15:00,0,"13,832","21,512"
2025-07-30 15:10:00,0,"14,256","15,812"
2025-07-30 15:05:00,0,"14,125","16,915"
2025-07-30 15:00:00,0,"14,378","18,288"
2025-07-30 14:55:00,0,"14,143","16,382"
2025-07-30 14:50:00,0,"14,83","17,563"
2025-07-30 14:45:00,0,"14,239","21,166"
2025-07-30 14:40:00,0,"14,392","20,772"
2025-07-30 14:35:00,0,"14,37","17,467"
2025-07-30 14:30:00,0,"14,293","18,071"
2025-07-30 14:25:00,0,"15,082","17,669"
2025-07-30 14:20:00,0,"14,422","16,967"
2025-07-30 14:15:00,0,"13,762","18,7"
2025-07-30 14:10:00,0,"14,18","19,327"
2025-07-30 14:05:00,0,"14,615","20,948"
2025-07-30 14:00:00,0,"14,339","21,907"
2025-07-30 13:55:00,0,"13,766","18,954"
2025-07-30 13:50:00,0,"13,876","19,733"
2025-07-30 13:45:00,0,"14,34","17,22"
2025-07-30 13:40:00,0,"14,218","18,281"
2025-07-30 13:35:00,0,"13,967","18,638"
2025-07-30 13:30:00,0,"13,828","18,994"
2025-07-30 13:25:00,0,"13,95","23,236"
2025-07-30 13:20:00,0,"13,793","22,542"
2025-07-30 13:15:00,0,"13,789","21,472"
2025-07-30 13:10:00,0,"14,594","19,433"
2025-07-30 13:05:00,0,"13,975","18,592"
2025-07-30 13:00:00,0,"13,939","19,894"
2025-07-30 12:55:00,0,"14,339","19,415"
2025-07-30 12:50:00,0,"13,289","18,335"
2025-07-30 12:45:00,0,"13,369","21,425"
2025-07-30 12:40:00,0,"13,618","20,238"
2025-07-30 12:35:00,0,"13,478","16,484"
2025-07-30 12:30:00,0,"14,056","17,928"
2025-07-30 12:25:00,0,"13,933","18,461"
2025-07-30 12:20:00,0,"14,053","18,523"
2025-07-30 12:15:00,0,"14,731","20,928"
2025-07-30 12:10:00,0,"14,494","22,114"
2025-07-30 12:05:00,0,"13,7","17,362"
2025-07-30 12:00:00,0,"12,962","17,802"
2025-07-30 11:55:00,0,"13,094","20,24"
2025-07-30 11:50:00,0,"13,102","19,176"
2025-07-30 11:45:00,0,"12,79","21,005"
2025-07-30 11:40:00,0,"13,205","21,544"
2025-07-30 11:35:00,0,"13,278","21,334"
2025-07-30 11:30:00,0,"13,495","22,865"
2025-07-30 11:25:00,0,"12,962","19,61"
2025-07-30 11:20:00,0,"13,043","20,714"
2025-07-30 11:15:00,0,"12,938","20,396"
2025-07-30 11:10:00,0,"13,519","19,139"
2025-07-30 11:05:00,0,"13,493","20,22"
2025-07-30 11:00:00,0,"13,583","22,187"
2025-07-30 10:55:00,0,"12,818","21,596"
2025-07-30 10:50:00,0,"12,904","23,7"
2025-07-30 10:45:00,0,"12,758","19,928"
2025-07-30 10:40:00,0,"13,079","20,396"
2025-07-30 10:35:00,0,"13,651","19,183"
2025-07-30 10:30:00,0,"12,847","20,15"
2025-07-30 10:25:00,0,"12,677","22,182"
2025-07-30 10:20:00,0,"13,403","20,472"
2025-07-30 10:15:00,0,"13,572","18,589"
2025-07-30 10:10:00,0,"13,38","21,575"
2025-07-30 10:05:00,0,"13,28","21,906"
2025-07-30 10:00:00,0,"13,31","17,855"
2025-07-30 09:55:00,0,"13,396","22,148"
2025-07-30 09:50:00,0,"13,198","22,765"
2025-07-30 09:45:00,0,"13,504","20,339"
2025-07-30 09:40:00,0,"14,548","21,252"
2025-07-30 09:35:00,0,"14,009","18,101"
2025-07-30 09:30:00,0,"13,481","18,641"
2025-07-30 09:25:00,0,"13,184","18,708"
2025-07-30 09:20:00,0,"13,219","20,669"
2025-07-30 09:15:00,0,"13,349","17,777"
2025-07-30 09:10:00,0,"13,483","22,049"
2025-07-30 09:05:00,0,"13,666","20,792"
2025-07-30 09:00:00,0,"13,181","16,927"
2025-07-30 08:55:00,0,"13,476","20,628"
2025-07-30 08:50:00,0,"12,962","20,281"
2025-07-30 08:45:00,0,"13,25","21,268"
2025-07-30 08:40:00,0,"13,649","20,851"
2025-07-30 08:35:00,0,"13,477","20,688"
2025-07-30 08:30:00,0,"13,567","19,339"
2025-07-30 08:25:00,0,"13,554","17,2"
2025-07-30 08:20:00,0,"12,878","17,711"
2025-07-30 08:15:00,0,"13,536","18,986"
2025-07-30 08:10:00,0,"12,78","18,433"
2025-07-30 08:05:00,0,"12,44","20,876"
2025-07-30 08:00:00,0,"12,592","20,556"
2025-07-30 07:55:00,0,"11,714","18,166"
2025-07-30 07:50:00,0,"11,711","18,628"
2025-07-30 07:45:00,0,"11,868","22,393"
2025-07-30 07:40:00,0,"11,698","20,195"
2025-07-30 07:35:00,0,"11,69","17,472"
2025-07-30 07:30:00,0,"12,071","18,095"
2025-07-30 07:25:00,0,"11,581","20,969"
2025-07-30 07:20:00,0,"11,71","18,121"
2025-07-30 07:15:00,0,"12,48","17,916"
2025-07-30 07:10:00,0,"12,275","21,001"
2025-07-30 07:05:00,0,"11,914","19,794"
2025-07-30 07:00:00,0,"11,7","20,554"
2025-07-30 06:55:00,0,"10,865","20,836"
2025-07-30 06:50:00,0,"11,068","18,913"
2025-07-30 06:45:00,0,"11,311","18,27"
2025-07-30 06:40:00,0,"11,056","19,015"
2025-07-30 06:35:00,0,"10,69","19,206"
2025-07-30 06:30:00,0,"10,338","18,968"
2025-07-30 06:25:00,0,"10,601","21,022"
2025-07-30 06:20:00,0,"10,83","17,987"
2025-07-30 06:15:00,0,"11,261","18,193"
2025-07-30 06:10:00,0,"10,117","21,086"
2025-07-30 06:05:00,0,"10,212","17,581"
2025-07-30 06:00:00,0,"10,273","16,811"
2025-07-30 05:55:00,0,"9,821","19,312"
2025-07-30 05:50:00,0,"9,514","18,745"
2025-07-30 05:45:00,0,"9,468","17,056"
2025-07-30 05:40:00,0,"9,389","18,113"
2025-07-30 05:35:00,0,"10,03","16,942"
2025-07-30 05:30:00,0,"9,503","16,829"
2025-07-30 05:25:00,0,"9,64","17,108"
2025-07-30 05:20:00,0,"9,695","16,511"
2025-07-30 05:15:00,0,"9,5","15,701"
2025-07-30 05:10:00,0,"9,566","18,895"
2025-07-30 05:05:00,0,"9,709","22,404"
2025-07-30 05:00:00,0,"9,854","19,129"
2025-07-30 04:55:00,0,"9,539","11,003"
2025-07-30 04:50:00,0,"9,728","5,994"
2025-07-30 04:45:00,0,"9,199","6,012"
2025-07-30 04:40:00,0,"9,265","8,453"
2025-07-30 04:35:00,0,"9,732","8,854"
2025-07-30 04:30:00,0,"9,038","7,153"
2025-07-30 04:25:00,0,"9,247","5,915"
2025-07-30 04:20:00,0,"9,175","5,576"
2025-07-30 04:15:00,0,"9,26","6,355"
2025-07-30 04:10:00,0,"9,421","12,211"
2025-07-30 04:05:00,0,"9,154","5,675"
2025-07-30 04:00:00,0,"9,236","5,818"
2025-07-30 03:55:00,0,"9,328","5,993"
2025-07-30 03:50:00,0,"9,456","6,749"
2025-07-30 03:45:00,0,"9,764","8,755"
2025-07-30 03:40:00,0,"9,536","9,077"
2025-07-30 03:35:00,0,"9,12","5,689"
2025-07-30 03:30:00,0,"9,48","5,524"
2025-07-30 03:25:00,0,"9,336","5,671"
2025-07-30 03:20:00,0,"9,42","6,892"
2025-07-30 03:15:00,0,"9,532","8,5"
2025-07-30 03:10:00,0,"9,994","9,505"
2025-07-30 03:05:00,0,"9,17","6,199"
2025-07-30 03:00:00,0,"9,278","5,819"
2025-07-30 02:55:00,0,"9,214","5,695"
2025-07-30 02:50:00,0,"9,151","8,222"
2025-07-30 02:45:00,0,"9,34","10,319"
2025-07-30 02:40:00,0,"9,576","5,455"
2025-07-30 02:35:00,0,"9,275","5,566"
2025-07-30 02:30:00,0,"9,05","5,803"
2025-07-30 02:25:00,0,"9,31","7,321"
2025-07-30 02:20:00,0,"9,47","8,798"
2025-07-30 02:15:00,0,"9,242","8,548"
2025-07-30 02:10:00,0,"9,313","5,827"
2025-07-30 02:05:00,0,"9,481","5,711"
2025-07-30 02:00:00,0,"9,364","5,796"
2025-07-30 01:55:00,0,"9,266","10,315"
2025-07-30 01:50:00,0,"9,44","8,278"
