tenant_id,unit_id,is_active
12,49,1
14,35,1
22,47,1
16,53,1
12,58,1
18,36,1
21,44,1
9,29,1
9,27,1
11,37,1
12,39,1
12,40,1
13,57,1
11,38,1
19,34,1
16,61,1
16,54,1
22,55,1
9,28,1
12,59,1
10,43,1
16,52,1
22,46,1
13,48,1
9,30,1
20,42,1
12,50,1
16,51,1
19,31,1
22,56,1
19,33,1
15,45,1
9,26,1
19,32,1
17,41,1
