Date,Consumption [kW],Production [kW],Always on [kW],Import [kW],Export [kW]
2025-07-01 23:55:00,"6,842","-0,018","4,337","6,86",0
2025-07-01 23:50:00,"6,63","-0,018","4,337","6,649",0
2025-07-01 23:45:00,"6,435","-0,018","4,337","6,453",0
2025-07-01 23:40:00,"6,276","-0,018","4,337","6,295",0
2025-07-01 23:35:00,"6,586","-0,018","4,337","6,604",0
2025-07-01 23:30:00,"6,593","-0,019","4,337","6,611",0
2025-07-01 23:25:00,"6,775","-0,019","4,337","6,793",0
2025-07-01 23:20:00,"6,358","-0,019","4,337","6,376",0
2025-07-01 23:15:00,"6,532","-0,019","4,337","6,55",0
2025-07-01 23:10:00,"6,344","-0,019","4,337","6,362",0
2025-07-01 23:05:00,"6,433","-0,019","4,337","6,452",0
2025-07-01 23:00:00,"6,397","-0,019","4,337","6,416",0
2025-07-01 22:55:00,"6,59","-0,018","4,337","6,609",0
2025-07-01 22:50:00,"6,612","-0,018","4,337","6,63",0
2025-07-01 22:45:00,"6,518","-0,018","4,337","6,537",0
2025-07-01 22:40:00,"6,795","-0,019","4,337","6,814",0
2025-07-01 22:35:00,"6,429","-0,019","4,337","6,448",0
2025-07-01 22:30:00,"6,409","-0,019","4,337","6,427",0
2025-07-01 22:25:00,"6,136","-0,019","4,337","6,155",0
2025-07-01 22:20:00,"7,037","-0,019","4,337","7,055",0
2025-07-01 22:15:00,"7,979","-0,019","4,337","7,998",0
2025-07-01 22:10:00,"7,356","-0,019","4,337","7,375",0
2025-07-01 22:05:00,"7,658","-0,019","4,337","7,677",0
2025-07-01 22:00:00,"7,796","-0,019","4,337","7,814",0
2025-07-01 21:55:00,"8,508","-0,019","4,337","8,526",0
2025-07-01 21:50:00,"8,152","-0,019","4,337","8,171",0
2025-07-01 21:45:00,"8,293","-0,018","4,337","8,312",0
2025-07-01 21:40:00,"8,807","-0,018","4,337","8,825",0
2025-07-01 21:35:00,"8,295","-0,018","4,337","8,313",0
2025-07-01 21:30:00,"8,416","-0,018","4,337","8,434",0
2025-07-01 21:25:00,"8,116","-0,018","4,337","8,134",0
2025-07-01 21:20:00,"8,279","-0,018","4,337","8,298",0
2025-07-01 21:15:00,"8,242","-0,018","4,337","8,26",0
2025-07-01 21:10:00,"8,393","-0,018","4,337","8,411",0
2025-07-01 21:05:00,"8,35","-0,018","4,337","8,368",0
2025-07-01 21:00:00,"9,13","-0,018","4,337","9,148",0
2025-07-01 20:55:00,"9,236","-0,018","4,337","9,255",0
2025-07-01 20:50:00,"9,564","-0,018","4,337","9,583",0
2025-07-01 20:45:00,"10,031","-0,019","4,337","10,05",0
2025-07-01 20:40:00,"9,513","-0,018","4,337","9,532",0
2025-07-01 20:35:00,"10,525","-0,018","4,337","10,544",0
2025-07-01 20:30:00,"13,454","-0,018","4,337","13,472",0
2025-07-01 20:25:00,"14,293","-0,018","4,337","14,311",0
2025-07-01 20:20:00,"14,392","-0,018","4,337","14,41",0
2025-07-01 20:15:00,"14,795","-0,018","4,337","14,813",0
2025-07-01 20:10:00,"15,27","-0,018","4,337","15,288",0
2025-07-01 20:05:00,"15,95","-0,018","4,337","15,969",0
2025-07-01 20:00:00,"17,692","-0,018","4,337","17,71",0
2025-07-01 19:55:00,"17,854","-0,018","4,337","17,873",0
2025-07-01 19:50:00,"19,071","-0,018","4,337","19,089",0
2025-07-01 19:45:00,"18,923","-0,018","4,337","18,942",0
2025-07-01 19:40:00,"20,142","-0,018","4,337","20,161",0
2025-07-01 19:35:00,"20,193","-0,018","4,337","20,211",0
2025-07-01 19:30:00,"19,313","-0,018","4,337","19,331",0
2025-07-01 19:25:00,"20,591","-0,018","4,337","20,609",0
2025-07-01 19:20:00,"20,656","-0,018","4,337","20,674",0
